,Name,Mileage,Dealer Name,Rating,Review Count,Price
81,2020 Mercedes-Benz SLC 300 Base,"12,999 mi.",Mercedes-Benz of Stockton,3.9,127 ,"$48,999"
82,2020 Mercedes-Benz GLB 250 Base 4MATIC,"32,484 mi.",Mercedes-Benz of Springfield,4.9,102 ,"$32,958"
83,2021 Mercedes-Benz AMG GLC 63 Base 4MATIC,"8,306 mi.",Mercedes-Benz of Indianapolis,n/a,80 ,"$78,697"
84,2022 Mercedes-Benz C-Class C 300 4MATIC,"4,720 mi.",Mercedes-Benz of Wilmington,4.5,"1,793 ","$48,900"
85,2022 Mercedes-Benz CLS 450 Base 4MATIC,"5,815 mi.",Mercedes-Benz of Houston North,4.5,"1,761 ","$75,998"
86,2020 Mercedes-Benz E-Class E 350 4MATIC,"40,665 mi.",Mercedes-Benz of Omaha,4.3,419 ,"$40,750"
87,2020 Mercedes-Benz CLS 450 Base,"4,173 mi.",Star Motor Cars,3.7,63 ,"$64,400"
88,2022 Mercedes-Benz AMG GT 53 Base,"4,885 mi.",Mercedes-Benz Of Henderson,4.9,"1,716 ","$99,991"
89,2019 Mercedes-Benz AMG S 63 Base 4MATIC,"40,238 mi.",Mercedes-Benz of Austin,4.8,"1,335 ","$94,999"
90,2020 Mercedes-Benz AMG G 63 Base,"47,893 mi.",Mercedes-Benz of Scarborough,4.4,524 ,"$156,672"
91,2022 Mercedes-Benz CLA 250 Base 4MATIC,"38,715 mi.",Mercedes-Benz of Warwick,4.8,264 ,"$38,995"
92,2023 Mercedes-Benz GLB 250 Base 4MATIC,"2,781 mi.",Crown Eurocars of Dublin,4.9,"2,699 ","$46,000"
93,2018 Mercedes-Benz AMG E 63 S 4MATIC,"35,455 mi.",Mercedes-Benz of West Houston,4.7,73 ,"$73,991"
94,2022 Mercedes-Benz GLC 300 Base 4MATIC,"11,303 mi.",Mercedes-Benz of Monterey,n/a,60 ,"$44,287"
95,2020 Mercedes-Benz G-Class G 550 4MATIC,"14,480 mi.",Mercedes-Benz Manhattan Inc.,3.5,466 ,"$144,900"
96,2019 Mercedes-Benz AMG GT R,"9,661 mi.",Mercedes-Benz of Littleton,4.6,"1,153 ","$163,999"
97,2021 Mercedes-Benz AMG A 35 Base,"29,122 mi.",Mercedes-Benz of Knoxville,4.7,339 ,"$46,700"
98,2020 Mercedes-Benz GLS 580 Base 4MATIC,"7,563 mi.",Feldmann Imports,4.4,640 ,"$89,783"
99,2019 Mercedes-Benz CLS 450 Base 4MATIC,"15,061 mi.",Mercedes-Benz Of Henderson,4.9,"1,716 ","$53,993"
100,2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"7,974 mi.",Mercedes-Benz of Hoffman Estates,4.6,"1,184 ","$129,999"
101,2021 Mercedes-Benz Maybach GLS 600 4MATIC,"10,770 mi.",Mercedes-Benz of Buckhead,4.0,932 ,"$180,000"
102,2022 Mercedes-Benz EQB 350 Base 4MATIC,"4,262 mi.",Mercedes-Benz of North Palm Beach,3.1,50 ,"$54,000"
103,2020 Mercedes-Benz CLA 250 Base 4MATIC,"28,744 mi.",Mercedes-Benz of Lynnwood,4.4,130 ,"$35,995"
104,2021 Mercedes-Benz GLC 300 4MATIC Coupe,"20,402 mi.",Mercedes-Benz of Naples,4.7,"1,521 ","$53,500"
105,2023 Mercedes-Benz AMG GT 53 AMG GT 53,564 mi.,Mercedes-Benz of Lynnwood,4.4,130 ,"$121,995"
106,2020 Mercedes-Benz S-Class S 560 4MATIC,"40,990 mi.",Mercedes-Benz of Wichita,n/a,109 ,"$67,998"
107,2022 Mercedes-Benz AMG GLC 43 Base 4MATIC,"3,410 mi.",Mercedes-Benz of Scarborough,4.4,524 ,"$55,990"
108,2023 Mercedes-Benz GLE 350 Base 4MATIC,"6,031 mi.",Mercedes-Benz of State College,n/a,2 ,"$68,991"
109,2020 Mercedes-Benz AMG C 43 Base 4MATIC,"14,410 mi.",Sears Imported Autos,4.9,"2,221 ","$49,972"
110,2023 Mercedes-Benz GLB 250 Base 4MATIC,"5,665 mi.",Mercedes-Benz of Wilmington,4.5,"1,793 ","$51,460"
111,2021 Mercedes-Benz G-Class G 550 4MATIC,"22,199 mi.",Mercedes-Benz of Columbus,4.7,"1,192 ","$149,699"
112,2019 Mercedes-Benz GLC 300 Base 4MATIC,"37,932 mi.",Mercedes-Benz of Edison,5.0,"3,941 ","$34,697"
113,2021 Mercedes-Benz AMG GLC 63 Base 4MATIC,"1,298 mi.",Sears Imported Autos,4.9,"2,221 ","$78,741"
114,2019 Mercedes-Benz CLA 250 Base 4MATIC,"40,200 mi.",Mercedes-Benz of Beaverton,4.4,"2,833 ","$30,723"
115,2020 Mercedes-Benz AMG SLC 43 Base,"11,892 mi.",Fields Motorcars,4.4,179 ,"$52,500"
116,2022 Mercedes-Benz Maybach S 580 4MATIC,"4,916 mi.",Jackie Cooper Imports,4.9,"4,074 ","$220,000"
117,2022 Mercedes-Benz AMG CLA 45 Base 4MATIC,"10,595 mi.",Mercedes-Benz of Santa Rosa,n/a,30 ,"$56,833"
118,2020 Mercedes-Benz AMG CLS 53 Base 4MATIC,"43,234 mi.",Volkswagen of Quad Cities,4.8,179 ,"$59,900"
119,2020 Mercedes-Benz GLB 250 Base,"35,607 mi.",Mercedes-Benz of Covington,4.7,734 ,"$38,000"
120,2019 Mercedes-Benz C-Class C 300 4MATIC,"19,625 mi.",Mercedes-Benz of Springfield,4.9,102 ,"$31,990"
